name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-31023,58522,26,61.16668981,43.001,145.6719,0.0001469,236.55840000000003,123.04610000000001,915.4208718,0.047252,U,active,1 58522U 23191Q   26061.16668981  .01353084  00000+0  47252-1 0  9992,2 58522  43.0010 145.6719 0001469 236.5584 123.0461 15.25701453  5766,6866.816912386421,94.38281632153627,495.8169123864209
STARLINK-30932,58523,26,61.16668981,43.001,145.6123,0.0001045,242.362,143.4409,916.0165344,0.0018503,U,active,1 58523U 23191R   26061.16668981  .00049636  00000+0  18503-2 0  9995,2 58523  43.0010 145.6123 0001045 242.3620 143.4409 15.26694224  5218,6863.839710342411,94.32144154100108,492.8397103424113
STARLINK-30992,58524,26,61.16668981,43.0031,145.6627,0.0001158,260.4239,103.958,916.0287803999998,0.0027500000000000003,U,active,1 58524U 23191S   26061.16668981  .00074192  00000+0  27500-2 0  9998,2 58524  43.0031 145.6627 0001158 260.4239 103.9580 15.26714634  5661,6863.778537032741,94.3201805976794,492.77853703274104
STARLINK-30948,58525,26,61.16668981,43.0013,145.6394,9.37e-05,275.8929,96.2645,916.0046538,0.0029179,U,active,1 58525U 23191T   26061.16668981  .00078691  00000+0  29179-2 0  9991,2 58525  43.0013 145.6394 0000937 275.8929  96.2645 15.26674423  5660,6863.899059646258,94.32266489212022,492.89905964625814
STARLINK-31013,58526,26,60.27558885,43.0012,151.0184,0.0001832,309.7065,50.3616,902.8244628,0.0023401,U,active,1 58526U 23191U   26060.27558885  .00033448  00000+0  23401-2 0  9997,2 58526  43.0012 151.0184 0001832 309.7065  50.3616 15.04707438124188,6930.540878657855,95.69966650221345,559.5408786578546
STARLINK-31001,58527,26,61.16668981,43.0001,145.6293,0.0001433,283.4984,53.2234,914.0972075999999,0.07766800000000001,U,active,1 58527U 23191V   26061.16668981  .02108836  00000+0  77668-1 0  9995,2 58527  43.0001 145.6293 0001433 283.4984  53.2234 15.23495346  5776,6873.444338440743,94.5194879512287,502.4443384407432
STARLINK-31004,58528,26,61.16668981,43.0004,145.7074,0.0001235,249.8557,92.1668,915.9666264,0.0039513,U,active,1 58528U 23191W   26061.16668981  .00106857  00000+0  39513-2 0  9993,2 58528  43.0004 145.7074 0001235 249.8557  92.1668 15.26611044  5715,6864.089033401158,94.32658080521524,493.0890334011583
STARLINK-30988,58529,26,61.16668981,43.0017,145.8211,0.0001248,268.6294,27.354,914.579589,0.049706,U,active,1 58529U 23191X   26061.16668981  .01344334  00000+0  49706-1 0  9993,2 58529  43.0017 145.8211 0001248 268.6294  27.3540 15.24299315  5816,6871.027261951112,94.46963505327037,500.02726195111245
STARLINK-31009,58530,26,61.16668981,43.0016,145.8192,0.0001212,261.8309,34.7041,913.9964208,0.04905,U,active,1 58530U 23191Y   26061.16668981  .01304240  00000+0  49050-1 0  9999,2 58530  43.0016 145.8192 0001212 261.8309  34.7041 15.23327368  5769,6873.949621038517,94.5299106580484,502.94962103851685
STARLINK-31012,58531,26,60.83023132,53.1601,99.1344,0.0001174,92.0947,268.0188,918.115764,5.5156000000000005e-05,U,active,1 58531U 23192A   26060.83023132  .00001274  00000+0  55156-4 0  9994,2 58531  53.1601  99.1344 0001174  92.0947 268.0188 15.30192940124783,6853.373149387798,94.10577988943015,482.37314938779764
